N,Model,Price,Ram,CPU,Graphic,Storage
39,HP,$879.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX ,256GB SSD
40,Asus,$389.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 620,1TB HDD
41,Dell,"$1,499.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
42,Asus,$522.99 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,1TB HDD
43,Acer,$682.00 ,4GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
44,Dell,$999.00 ,12GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 150MX,1TB HDD
45,Apple,"$1,419.00 ",8GB,Intel Core i5 2.0GHz,Intel Iris Graphics 540,256GB SSD
46,Lenovo,$369.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD
47,Asus,"$1,299.00 ",8GB,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,256GB SSD +  1TB HDD
48,Dell,$639.00 ,4GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,256GB SSD
49,Asus,$466.00 ,4GB,Intel Pentium Quad Core N4200 1.1GHz,Nvidia GeForce 920MX,1TB HDD
50,Lenovo,$319.00 ,4GB,Intel Atom x5-Z8550 1.44GHz,Intel HD Graphics 400,64GB Flash Storage
51,Acer,$841.00 ,8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,256GB SSD
52,HP,$398.49 ,4GB,AMD A6-Series 9220 2.5GHz,AMD Radeon R4 Graphics,256GB SSD
53,HP,"$1,103.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
54,Acer,$384.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
55,Dell,$767.80 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 520,256GB SSD
56,HP,$439.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD
57,Asus,$586.19 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
58,MSI,"$2,449.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  2TB HDD
59,Asus,$415.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,256GB SSD
60,Dell,"$1,299.00 ",16GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD +  2TB HDD
61,Dell,$879.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
62,Lenovo,$599.00 ,8GB,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,256GB SSD
63,Asus,$941.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
64,HP,$690.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
65,Asus,"$1,983.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,512GB SSD
66,HP,$438.69 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon 520,500GB HDD
67,HP,$229.00 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB SSD
68,Lenovo,$549.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
69,Asus,$949.00 ,12GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,1TB HDD
70,Microsoft,"$1,089.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
71,Dell,$955.00 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD
72,Dell,$870.00 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD
73,MSI,"$1,095.00 ",8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
74,Acer,$389.00 ,8GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
75,Asus,$949.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
76,Lenovo,$519.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,2TB HDD
77,Dell,$855.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,128GB SSD +  1TB HDD
78,Acer,$530.00 ,4GB,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,1TB HDD
79,HP,$977.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,128GB SSD +  1TB HDD
80,Dell,"$1,096.16 ",8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
81,Apple,"$1,510.00 ",8GB,Intel Core i5 1.3GHz,Intel HD Graphics 615,512GB SSD
82,HP,$860.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,256GB SSD
83,Lenovo,$399.00 ,4GB,AMD A6-Series 9220 2.5GHz,AMD R4 Graphics,128GB SSD
84,Acer,$395.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5,1TB HDD
85,Dell,"$1,349.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
86,HP,$699.00 ,8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce GTX 940MX,256GB SSD
87,HP,$598.99 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
88,Asus,"$1,449.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
89,Dell,"$1,649.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
90,Asus,$699.00 ,8GB,AMD FX 9830P 3GHz,AMD Radeon RX 560,1TB HDD
91,Acer,$689.00 ,8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,1TB HDD
92,HP,"$1,197.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
93,Dell,"$1,195.00 ",8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1060,256GB SSD
94,Asus,"$1,049.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
95,Acer,$847.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
96,Dell,$599.90 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M430,1TB HDD
97,Dell,$485.00 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,256GB SSD
98,Asus,$577.00 ,6GB,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 920M,256GB SSD
99,HP,"$1,249.00 ",12GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
100,HP,$719.00 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon 530,256GB SSD
101,HP,$349.00 ,4GB,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,500GB HDD
102,Dell,$647.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,1TB HDD
103,HP,"$1,119.00 ",8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce MX150,256GB SSD
104,Microsoft,"$1,340.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
105,HP,$659.00 ,6GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,256GB SSD
106,Lenovo,$414.90 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
107,Asus,"$1,193.00 ",8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD
108,MSI,"$1,299.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
109,Lenovo,"$1,480.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
110,Asus,"$1,262.00 ",16GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,256GB SSD +  1TB HDD
111,Dell,"$1,379.00 ",8GB,Intel Core i7 7560U 2.4GHz,Intel Iris Plus Graphics 640,256GB SSD
112,Lenovo,"$1,399.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
113,HP,$722.00 ,4GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,500GB HDD
114,Dell,"$1,629.00 ",8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
115,HP,"$1,398.99 ",8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
116,HP,"$1,084.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
117,Dell,"$1,130.33 ",8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 940MX,256GB SSD +  1TB HDD
118,Asus,$564.00 ,4GB,Intel Core i3 6006U 2GHz,Nvidia GeForce 920MX,1TB HDD
119,Asus,"$1,118.00 ",8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 940MX,256GB SSD
120,Acer,$479.00 ,6GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
121,MSI,"$2,241.50 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  2TB HDD
122,Lenovo,$629.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,256GB SSD
123,HP,"$1,271.00 ",16GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX ,512GB SSD
124,Acer,$451.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5,256GB SSD
125,HP,$259.00 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,500GB HDD
126,HP,$812.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,1TB HDD
127,Asus,$277.99 ,4GB,AMD E-Series 6110 1.5GHz,AMD Radeon R2,64GB SSD
128,Dell,"$1,396.00 ",16GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD +  2TB HDD
129,HP,$928.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
130,Dell,$638.99 ,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M445,1TB HDD
131,Dell,$449.00 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,1TB HDD
132,Acer,$884.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
133,Acer,$572.00 ,4GB,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,256GB SSD
134,HP,$598.00 ,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB HDD
135,HP,$988.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
136,Lenovo,$252.36 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,1TB HDD
137,Asus,$938.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
138,Lenovo,$499.00 ,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX,1TB HDD
139,HP,$699.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
140,Acer,$655.00 ,4GB,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,1TB HDD
141,Lenovo,"$1,116.02 ",8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon RX 550,256GB SSD
142,Lenovo,$869.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050M,256GB SSD
143,Toshiba,$602.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
144,HP,$369.00 ,4GB,AMD A6-Series 9220 2.5GHz,AMD Radeon R4 Graphics,256GB SSD
145,Asus,"$1,099.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
146,HP,"$2,014.00 ",8GB,Intel Core M 6Y75 1.2GHz,Intel HD Graphics 515,512GB SSD
147,Asus,$344.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,1TB HDD
148,MSI,"$2,029.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
149,Acer,$447.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
150,Dell,"$1,249.26 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,512GB SSD
151,Dell,$899.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1.0TB Hybrid
152,Lenovo,$498.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
153,MSI,"$1,890.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
154,HP,"$1,082.00 ",4GB,Intel Core i5 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
155,HP,$619.00 ,6GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,256GB SSD
156,Lenovo,$629.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,256GB SSD
157,Asus,"$1,315.00 ",8GB,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,256GB SSD
158,Dell,"$1,049.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
159,Toshiba,$447.00 ,4GB,Intel Core i3 6006U 2.2GHz,Intel HD Graphics 520,500GB HDD
160,Asus,$403.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5 M420,1TB HDD
161,Acer,$805.00 ,4GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,256GB SSD
162,Dell,$728.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,256GB SSD
163,Lenovo,"$1,079.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD
164,Acer,$348.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,1TB HDD
165,MSI,"$1,799.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
166,Acer,$363.51 ,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,1TB HDD
167,Dell,"$1,060.49 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
168,Acer,$854.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,256GB SSD
169,HP,$754.00 ,4GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,500GB HDD
170,Huawei,"$1,349.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
171,HP,$699.00 ,6GB,Intel Core i5 7200U 2.5GHz,AMD Radeon 520,2TB HDD
172,Lenovo,$309.00 ,4GB,AMD A6-Series 9220 2.9GHz,AMD Radeon R4 Graphics,500GB HDD
173,Toshiba,$489.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,500GB HDD
174,HP,$923.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,256GB SSD
175,Dell,$459.00 ,8GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
176,Acer,$449.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD
177,MSI,"$2,799.00 ",32GB,Intel Core i7 6920HQ 2.9GHz,Nvidia GTX 980 SLI,512GB SSD +  1TB HDD
178,Lenovo,$813.00 ,8GB,Intel Core i5 7200U 2.5GHz,AMD R17M-M1-70,128GB SSD +  1TB HDD
179,HP,"$1,499.00 ",8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
180,Dell,"$1,049.00 ",16GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD +  2TB HDD
181,Dell,"$1,399.00 ",8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
182,Lenovo,"$1,849.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
183,Toshiba,$793.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
184,Xiaomi,"$1,199.00 ",8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,256GB SSD
185,Dell,"$1,549.00 ",16GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 150MX,512GB SSD
186,Dell,"$2,397.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,512GB SSD
187,Lenovo,$779.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
188,Acer,$989.00 ,8GB,Intel Core i5 7Y54 1.2GHz,Intel HD Graphics 615,256GB SSD
189,Dell,"$1,085.00 ",8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,128GB SSD +  1TB HDD
190,Lenovo,"$2,824.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB SSD
191,Vero,$260.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
192,Xiaomi,$999.90 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce MX150,256GB SSD
193,Lenovo,$698.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX150,256GB SSD
194,Dell,$839.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,1TB HDD
195,HP,$914.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,1TB HDD
196,Razer,"$6,099.00 ",32GB,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,1TB SSD
197,HP,$959.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,512GB SSD
198,HP,"$1,379.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,256GB SSD +  1TB HDD
199,HP,"$1,045.00 ",8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX ,256GB SSD
200,Dell,"$1,845.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,512GB SSD +  1TB HDD
201,Lenovo,$493.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,128GB SSD
202,Acer,$742.00 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,1TB HDD
203,Lenovo,"$1,749.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,512GB SSD +  1TB HDD
204,Dell,"$3,055.00 ",16GB,Intel Xeon E3-1505M V6 3GHz,Nvidia Quadro M1200,256GB SSD +  1TB HDD
205,Lenovo,"$1,398.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,512GB SSD
206,Dell,$439.00 ,6GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
207,Dell,"$1,949.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
208,Dell,"$1,449.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
209,Lenovo,$597.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
210,Acer,$779.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
211,Asus,"$1,407.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,256GB SSD +  1TB HDD
212,HP,$349.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
213,Lenovo,$549.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
214,Huawei,"$1,499.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
215,Dell,$931.88 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD
216,Lenovo,$589.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 940MX,1TB HDD
217,HP,"$1,031.00 ",8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX,256GB SSD
218,Dell,"$1,149.00 ",8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
219,Dell,"$1,279.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
220,Dell,$677.35 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 520,256GB SSD
221,Lenovo,$899.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
222,Toshiba,"$1,363.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
223,HP,$794.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,1TB HDD
224,Dell,"$2,456.34 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
225,Acer,$832.00 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD
226,Dell,$859.01 ,16GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,1TB HDD
227,Asus,$769.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX ,256GB SSD
228,Asus,$891.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 950M,256GB SSD +  500GB HDD
229,HP,"$1,269.00 ",8GB,Intel Core i7 7500U 2.7GHz,AMD FirePro W4190M ,1TB HDD
230,Asus,$398.99 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
231,HP,$330.00 ,4GB,AMD E-Series 9000e 1.5GHz,AMD Radeon R2,500GB HDD
232,Lenovo,"$1,499.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
233,Dell,$859.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
234,Acer,$689.00 ,8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
235,Dell,$899.00 ,16GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,256GB SSD
236,Acer,$390.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
