UserID,rating,movieID,Name of Movie,Year of Release,Watch time,Rating,Meta Score,Votes,Gross Collection($)
411,3,2683,"Deux jours, une nuit",2014,95,7.3,89,"49,274",1.44
155,1,2788,Shanghai,2012,120,7.3,****,****,****
422,3,2871,I Am Legend,2007,101,7.2,65,"773,417",256.39
72,1,2980,Crazy Heart,2009,112,7.2,83,"91,724",39.46
167,5,5507,White Squall,1996,129,6.6,53,"24,461",10.3
427,4,5693,Gerald's Game,2017,103,6.5,77,****,****
7,1,6219,Monsters,2010,94,6.4,63,"94,158",0.24
418,5,6286,Brokedown Palace,1999,100,6.4,44,"23,296",10.11
451,3,6434,Down in the Valley,2005,108,6.4,65,"18,662",0.57
384,5,6734,Død snø,2009,92,6.3,61,"68,303",0.04
20,3,7042,Solaris,2002,99,6.2,65,"84,279",14.97
143,5,7387,Anon,I 2018,100,6.1,54,****,****
337,4,7890,MSG: The Messenger of God,2015,197,6,****,****,****
141,5,7938,Punisher: War Zone,2008,103,5.9,30,"64,603",7.95
334,2,8500,I Think We're Alone Now,2018,99,5.7,51,****,****
430,2,8583,The Nut Job,I 2014,85,5.7,37,"29,215",64.25
472,4,8816,Thank God,2022,121,5.6,****,****,****
155,2,8818,Domestic Disturbance,2001,89,5.6,29,"27,948",45.25
129,4,9131,3 Men and a Little Lady,1990,104,5.4,51,"25,445",71.61
423,3,9135,Jack Frost,1998,101,5.4,40,"38,405",34.55
8,1,8,The Lord of the Rings: The Return of the King,2003,201,9,94,"1,871,563",377.85
362,2,741,Sing Street,2016,106,7.9,79,"96,627",3.24
28,4,1994,Los lunes al sol,2002,113,7.5,64,"14,854",0.15
114,1,2103,Marathon Man,1976,125,7.4,64,"66,263",21.71
150,4,2602,Thirteen Days,2000,145,7.3,67,"60,178",34.59
257,3,2651,The War Zone,1999,98,7.3,68,"10,631",0.25
132,2,2828,Coherence,2013,89,7.2,65,"133,424",0.07
498,3,2895,Wild at Heart,1990,125,7.2,52,"96,056",14.56
202,2,3240,Tropic Thunder,2008,107,7.1,71,"426,235",110.52
362,4,3487,La Vénus à la fourrure,2013,96,7.1,69,"20,115",0.34
245,5,3761,The Adjustment Bureau,2011,106,7,60,"261,524",62.5
273,1,3773,Gräns,2018,110,7,75,"31,758",0.77
421,5,4300,Sisters,1972,93,6.9,70,"19,002",0.35
275,4,4909,On Her Majesty's Secret Service,1969,142,6.7,61,"94,547",22.8
270,5,5050,The Salvation,2014,92,6.7,64,"40,715",0.01
78,1,5638,La doublure,2006,85,6.6,68,"10,726",2.27
134,5,5643,Rocket Science,2007,101,6.6,73,"13,494",0.71
239,3,6473,Henry Poole Is Here,2008,99,6.4,44,"12,836",1.84
478,1,7786,Senseless,1998,93,6,36,"17,037",13.04
204,5,8048,Planes: Fire & Rescue,2014,83,5.9,48,"18,745",59.17
396,1,8277,The Glass House,2001,106,5.8,34,"38,469",18
9,3,9,Aynabaji,2016,147,9,****,****,****
313,3,743,Trois couleurs: Bleu,1993,94,7.9,85,"105,084",1.32
73,1,1049,Ma nuit chez Maud,1969,110,7.8,****,****,****
258,2,1227,Werk ohne Autor,2018,189,7.7,68,"23,006",1.3
476,3,1475,On Golden Pond,1981,109,7.6,68,"32,732",119.29
74,1,1655,Ostre sledované vlaky,1966,92,7.6,****,"13,136",3.27
218,3,2207,Gallipoli,1981,110,7.4,65,"40,592",5.73
167,4,2456,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84,7.3,89,"419,165",128.51
402,4,2834,Kingdom of Heaven,2005,144,7.2,63,"294,685",47.4
386,3,3687,Death Proof,2007,127,7,****,****,****
104,1,4645,The First Time,I 2012,95,6.8,55,"72,009",0.02
37,4,5308,The Fate of the Furious,2017,136,6.6,56,"237,595",226.01
311,4,5664,Howl,2010,84,6.6,63,"13,163",0.62
164,5,6727,The Eiger Sanction,1975,129,6.3,61,"20,745",1.53
422,1,6962,Synchronic,2019,102,6.2,64,****,****
457,4,7162,Amazon Women on the Moon,1987,85,6.2,42,"12,180",0.55
105,4,7415,Code 8,2019,98,6.1,48,****,****
424,2,8255,St. Trinian's,2007,101,5.8,39,****,****
192,2,8362,Taxi 3,2003,84,5.8,****,"43,907",0.5
80,4,8401,Bairavaa,2017,169,5.8,****,****,****
458,1,8440,Silent Night,I 2021,92,5.7,52,****,****
201,3,8756,Exit Wounds,2001,101,5.6,39,"36,056",51.76
92,3,9646,Proud Mary,2018,89,5,35,"10,245",20.87
10,3,0,The Shawshank Redemption,1994,142,9.3,82,"2,720,035",28.34
10,4,10,Pulp Fiction,1994,154,8.9,95,"2,088,980",107.93
298,4,1229,The Lady Eve,1941,94,7.7,96,****,****
170,5,2768,Mardaani,2014,113,7.3,****,****,****
146,3,2964,The Fox and the Hound,1981,83,7.2,65,"96,209",63.46
166,2,3004,Conviction,II 2010,107,7.2,61,"44,952",6.78
479,3,3019,The Andromeda Strain,1971,131,7.2,60,"38,450",3.42
60,2,3173,Broken Blossoms or The Yellow Man and the Girl,1919,90,7.2,****,****,****
367,5,3362,The Kings of Summer,2013,95,7.1,61,"82,575",1.29
151,3,3649,Blackmail,I 2018,138,7.1,****,****,****
101,5,3789,Fright Night,1985,106,7,62,"73,556",24.92
171,3,4792,Issiz Adam,2008,113,6.8,****,****,****
193,4,5833,The Skeleton Key,2005,104,6.5,47,"118,083",47.81
55,2,5853,House Party,1990,100,6.5,76,"15,808",26.39
208,5,6950,Verónica,I 2017,105,6.2,****,****,****
439,4,7240,Maggie's Plan,2015,98,6.2,76,"17,453",3.35
177,5,7262,Pathaan,2023,146,6.1,47,****,****
115,4,7546,What's New Pussycat,1965,108,6.1,****,"10,578",18.82
372,2,8283,The Haunting in Connecticut,2009,92,5.8,33,"63,216",55.39
202,5,8335,Beowulf & Grendel,2005,104,5.8,53,"18,285",0.07
204,3,9182,Banshee Chapter,2013,87,5.4,62,****,****
338,5,9800,After We Fell,2021,98,4.7,****,****,****
11,5,11,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,87,8.9,****,****,****
333,3,1329,Mephisto,1981,146,7.7,****,****,****
462,4,1405,Lost Horizon,1937,132,7.6,****,****,****
103,4,2133,Invasion of the Body Snatchers,1978,115,7.4,75,"63,164",24.95
463,2,2656,Sedmikrásky,1966,74,7.3,****,****,****
167,5,4250,Été 85,2020,101,6.9,65,****,****
205,3,4800,Populaire,2012,111,6.8,58,"12,444",0.18
125,1,5157,Le Mans,1971,106,6.7,52,"11,038",0.71
428,5,5337,"Me, Myself & Irene",2000,116,6.6,49,"242,119",90.57
215,1,5945,Darlings,I 2022,133,6.5,****,****,****
252,5,6099,The Princess Diaries,2001,115,6.4,52,"151,805",108.25
67,5,9469,The Late Bloomer,2016,90,5.2,34,****,****
12,5,12,Maratonci trce pocasni krug,1982,92,8.9,****,****,****
196,2,812,Ugly,2013,128,7.9,****,****,****
114,1,830,Letter from an Unknown Woman,1948,87,7.9,****,****,****
191,1,1700,"I, Tonya",2017,119,7.5,77,"224,603",30.01
208,4,1950,Husbands and Wives,1992,108,7.5,84,"29,988",10.56
220,2,2342,Animal Crackers,1930,97,7.4,77,"14,797",0.91
19,4,2382,Dookudu,2011,170,7.4,****,"13,694",1.56
241,3,2604,My Favorite Wife,1940,88,7.3,****,****,****
65,1,2632,Nobody's Fool,1994,110,7.3,86,"21,480",39.49
234,4,3089,Phir Hera Pheri,2006,153,7.2,****,****,****
160,5,3502,The Horse Soldiers,1959,120,7.1,****,"10,909",1.75
148,5,4196,Another Earth,2011,92,6.9,66,"97,266",1.32
226,4,4425,2 States,2014,149,6.9,****,"26,350",2.22
149,3,4919,The Living Daylights,1987,130,6.7,59,"101,324",51.19
13,2,4966,Scanners,1981,103,6.7,60,"57,754",14.23
160,5,5026,Silent Movie,1976,87,6.7,75,"17,776",36.15
288,3,5256,Empire of Light,2022,115,6.6,54,****,****
402,5,5709,Sister Act,1992,100,6.5,51,"102,391",139.61
317,2,6069,M3GAN,2022,102,6.4,72,"86,856",93.88
43,2,6128,Hanyo,2010,107,6.4,68,"11,562",0.15
12,2,6171,Star Trek: The Motion Picture,1979,143,6.4,50,"92,490",82.26
12,5,6178,Tango & Cash,1989,104,6.4,41,"108,640",63.41
111,1,6405,Evening,2007,117,6.4,45,"13,801",12.41
331,3,7419,The Rum Diary,2011,119,6.1,56,"106,252",13.1
236,4,7864,Frágiles,2005,101,6,****,****,****
13,4,13,Tosun Pasa,1976,90,8.9,****,****,****
192,3,1824,Yip Man 2,2010,108,7.5,67,"107,257",0.21
222,3,1975,Entre les murs,2008,128,7.5,92,"35,821",3.77
402,2,2429,Southpaw,2015,124,7.3,57,"244,615",52.42
298,4,2836,A Beautiful Day in the Neighborhood,2019,109,7.2,80,"83,264",61.7
468,5,5652,La délicatesse,2011,108,6.6,53,****,****
13,3,6175,Cyrano,2021,123,6.4,66,****,****
316,4,6804,Solitary Man,2009,90,6.3,69,"16,669",4.36
482,4,7593,Friends with Kids,2011,107,6.1,55,"42,687",7.25
240,2,8071,American Outlaws,2001,94,5.9,25,"16,855",13.26
149,1,8330,Smiley Face,2007,85,5.8,71,"18,197",0.01
368,5,8969,Joe's Apartment,1996,80,5.5,****,"13,757",4.61
260,3,9425,Sandy Wexler,2017,130,5.2,40,****,****
87,1,9583,Pinocchio,2022,105,5,38,****,****
14,1,14,Hababam Sinifi Sinifta Kaldi,1975,91,8.9,****,****,****
91,5,713,The Ten Commandments,1956,220,7.9,****,"72,593",93.74
318,2,883,The Curious Case of Benjamin Button,2008,166,7.8,70,"662,731",127.51
439,1,968,Duck Soup,1933,69,7.8,93,****,****
263,1,1017,Tôkyô goddofâzâzu,2003,92,7.8,73,"42,638",0.13
145,1,1221,Good Bye Lenin!,2003,121,7.7,68,"148,541",4.06
310,1,1303,The Awful Truth,1937,90,7.7,87,****,****
405,1,1555,McCabe & Mrs. Miller,1971,120,7.6,93,"26,094",8.2
72,3,1660,Il y a longtemps que je t'aime,2008,117,7.6,79,"20,473",3.17
201,4,1737,Hugo,2011,126,7.5,83,"327,357",73.86
336,3,2406,The Ballad of Buster Scruggs,2018,133,7.3,79,****,****
228,4,2442,The Secret Life of Walter Mitty,2013,114,7.3,54,"324,243",58.24
281,1,2671,Little Boy,2015,106,7.3,30,"23,453",6.42
369,3,2731,The Lodger: A Story of the London Fog,1927,92,7.3,****,****,****
499,1,2763,I Kina spiser de hunde,1999,91,7.3,****,****,****
121,3,2892,Caddyshack,1980,98,7.2,48,"121,232",39.85
32,2,3020,Apollo 10 1/2: A Space Age Adventure,2022,97,7.2,79,****,****
269,5,3507,The Whistleblower,2010,112,7.1,59,"34,710",1.12
444,3,3673,Matilda,1996,98,7,72,"161,260",33.08
255,3,3784,Perfect Sense,2011,92,7,55,"61,435",0
24,3,4902,Hot Shots!,1991,84,6.7,61,"111,363",69.47
197,3,5446,The Wedding Ringer,2015,101,6.6,35,"77,439",64.46
259,4,6078,Just Go with It,2011,117,6.4,33,"250,685",103.03
277,4,6582,My Best Friend's Wedding,1997,105,6.3,50,"146,657",127.12
377,3,7102,Gods and Generals,2003,219,6.2,30,"16,679",12.87
68,3,7315,Blood Red Sky,2021,121,6.1,43,****,****
368,2,7323,The Cable Guy,1996,96,6.1,56,"169,546",60.24
316,4,7790,We're Back! A Dinosaur's Story,1993,72,6,****,"15,468",9.32
187,3,8858,A.C.O.D.,2013,88,5.6,50,"13,620",0.17
475,4,8863,You People,2023,117,5.5,50,****,****
125,1,8903,Volcano,1997,104,5.5,55,"78,505",49.32
323,4,9110,Just Married,2003,95,5.4,28,"72,317",56.13
150,3,9603,Cannonball Run II,1984,108,5,13,"16,684",28.08
15,2,15,Fight Club,1999,139,8.8,66,"2,163,504",37.03
498,3,555,What Ever Happened to Baby Jane?,1962,134,8,75,"58,161",4.05
426,3,989,You Can't Take It with You,1938,126,7.8,****,"26,614",4.66
244,5,1117,Training Day,2001,122,7.7,69,"446,321",76.63
152,2,1490,Kelly's Heroes,1970,144,7.6,50,"51,007",1.38
477,2,1734,127 Hours,2010,94,7.5,82,"383,927",18.34
262,2,1984,Medianeras,2011,95,7.5,60,"15,367",0
199,2,2562,I Origins,2014,106,7.3,57,"128,087",0.33
471,3,2745,Bacalaureat,2016,128,7.3,84,"14,134",0.18
443,5,3034,Dracula,1958,82,7.2,67,****,****
143,5,3187,Amen.,2002,132,7.2,57,"14,531",0.27
150,1,3637,Klovn: The Movie,2010,93,7.1,62,"11,327",0.07
207,4,3846,The Boys from Brazil,1978,125,7,40,"29,010",19
121,4,3920,Find Me Guilty,2006,125,7,65,"35,157",1.17
328,2,4291,Return to Me,2000,115,6.9,54,"21,718",32.66
419,1,4512,Ghostbusters,2016,117,6.8,60,"235,685",128.34
166,2,4887,Metal Lords,2022,97,6.7,59,****,****
37,3,5575,Feast of Love,2007,97,6.6,51,"16,838",3.5
236,3,5682,Star Wars: Episode I - The Phantom Menace,1999,136,6.5,51,"817,591",474.54
315,1,5712,Armageddon Time,2022,114,6.5,74,****,****
322,3,6312,Thanks for Sharing,2012,112,6.4,54,"28,904",1.06
180,1,6352,The Adventures of Ford Fairlane,1990,104,6.4,24,"18,611",21.41
283,3,7163,The Hummingbird Project,2018,111,6.2,58,"15,244",0.37
208,2,7265,"Lyle, Lyle, Crocodile",2022,106,6.1,51,"10,127",46.89
3,3,7813,Ask Me Anything,2014,100,6,****,****,****
405,1,8222,Next of Kin,1989,108,5.8,53,"12,058",15.94
275,3,8331,Cry Wolf,2005,90,5.8,39,"27,878",10.05
447,4,8341,"Silent Night, Deadly Night",1984,79,5.8,31,"17,319",2.49
225,3,9004,Terminal Velocity,1994,102,5.5,****,"14,191",16.48
349,3,9089,How Do You Know,2010,121,5.4,46,"52,498",30.21
16,2,16,Inception,2010,148,8.8,74,"2,389,781",292.58
253,4,606,Ivanovo detstvo,1962,95,8,****,****,****
205,3,818,Dev.D,2009,144,7.9,****,"31,229",0.01
61,1,1495,Chup,2022,135,7.6,****,****,****
5,5,1989,Shaadi Mein Zaroor Aana,2017,137,7.5,****,****,****
446,1,3138,De grønne slagtere,2003,100,7.2,54,"23,032",0
116,2,3341,Flags of Our Fathers,2006,135,7.1,79,"125,542",33.6
91,2,4596,Dog Soldiers,2002,105,6.8,****,****,****
127,3,5186,Small Time Crooks,2000,94,6.7,69,"39,412",17.07
211,5,5956,Brain Damage,1988,84,6.5,61,****,****
362,3,6009,Where the Buffalo Roam,1980,99,6.5,****,"12,181",6.66
360,4,7223,Ong Bak 2,2008,98,6.2,47,"31,202",0.1
119,3,7242,Assassination of a High School President,2008,93,6.2,****,****,****
475,4,7900,Hall Pass,2011,105,5.9,45,"127,784",45.06
313,5,9146,Christmas with the Kranks,2004,99,5.4,22,"53,128",73.78
17,4,16,Inception,2010,148,8.8,74,"2,389,781",292.58
17,2,17,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,900,806",315.54
321,2,803,Auntie Mame,1958,143,7.9,****,"11,880",23.3
138,1,880,About Time,I 2013,123,7.8,55,"360,879",15.32
319,5,1452,Match Point,2005,124,7.6,72,"221,409",23.09
309,2,2354,Aankhen,2002,165,7.4,****,****,****
57,3,2592,I Can Only Imagine,2018,110,7.3,30,"16,842",83.48
107,2,3452,Tangerine,2015,88,7.1,86,"33,690",0.7
401,5,3644,Goodbye Bafana,2007,118,7.1,****,****,****
213,4,3710,Logan Lucky,2017,118,7,78,"154,133",27.78
497,4,3736,Public Enemies,2009,140,7,70,"308,242",97.1
105,2,3819,Thunderbolt and Lightfoot,1974,115,7,62,"26,509",25
447,1,4171,Westworld,1973,88,6.9,77,"60,184",16.06
62,5,4833,Midway,2019,138,6.7,47,"88,553",56.85
89,5,6482,Watcher,I 2022,96,6.3,72,****,****
320,4,6592,Third Person,2013,137,6.3,38,"28,671",1.02
491,1,6935,Spenser Confidential,2020,111,6.2,49,****,****
325,5,7205,Man of the Year,2006,115,6.2,39,"33,962",37.44
219,4,7744,Man of Tai Chi,2013,105,6,52,"39,918",0.1
341,4,9368,Scooby-Doo,2002,89,5.2,35,"117,620",153.29
479,3,9621,Summer Catch,2001,104,5,21,"16,267",19.69
83,1,9671,Fahrenheit 451,2018,100,4.9,****,****,****
18,1,18,Forrest Gump,1994,142,8.8,82,"2,114,824",330.25
291,5,1322,Kikujirô no natsu,1999,122,7.7,44,"21,197",0.2
478,4,1374,Superbad,2007,113,7.6,76,"594,131",121.46
